,Scientific Names,CommonName,Region,Country,Average_Weight,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky_areas,Habitat_Desert,Home_Range_log,AverageWeight_log,Locomotion_BOTH,Locomotion_T,DielActivity_D,DielActivity_N,TrophicGuild_Folivore,TrophicGuild_Frugivore,TrophicGuild_Gummivore,TrophicGuild_Insectivore,TrophicGuild_Omnivore
180,Callitrichidae Saguinus,Mottled face Tamarin,South America,Colombia,0.69,0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5553480614894135,-0.37106368139083207,0,0,1,0,0,1,0,0,0
181,Cercopithecidae Cercopithecus,Moustached Monkey,North West Africa,CÃ´te dÂIvoire,3.48,0,44.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7954891891721947,1.247032293786383,0,0,1,0,0,1,0,0,0
182,Galagidae Galagoides,Mozambique Dwarf Galago,South Africa,Mozambique,0.134,0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,-2.0099154790312257,0,0,0,1,0,0,0,0,1
183,Callitrichidae Saguinus,Mustached Tamarin,South America,Peru,0.53,0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6888794541139363,-0.6348782724359695,0,0,1,0,0,0,0,0,1
184,Cercopithecidae Semnopithecus,Nepal Sacred Langur,South East Asia,Bangladesh,17.0,0,6987.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8.85180655855245,2.833213344056216,1,0,1,0,0,0,0,0,0
185,Cercopithecidae Semnopithecus,Nilgiri Langur,East Asia,China,11.6,2,4.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5748464676644813,2.451005098112319,0,0,1,0,0,0,0,0,0
186,Lemuridae Hapalemur,Northern Bamboo Lemur,Madagascar,Madagascar,1.013,2,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,0.01291622526654623,0,0,0,0,0,0,0,0,0
187,Cercopithecidae Lophocebus,Northern Black Crested Mangabey,West Africa,Congo,6.8,1,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07753744390572,1.916922612182061,0,0,1,0,0,1,0,0,0
188,Cheirogaleidae Mirza,Northern Giant Mouse Lemur,Madagascar,Madagascar,0.29,3,1.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5068176023684519,-1.2378743560016174,0,0,0,1,0,0,0,0,1
189,Galagidae Galago,Northern Lesser Galago,West Africa,Congo,0.25,0,6.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8718021769015913,-1.3862943611198906,0,0,0,1,0,0,0,0,1
